,语文,数学,英语,物理,化学,地理
3202610001,123,117,58,70,31,83
3202610002,143,,104,48,81,92
3202610003,141,108,54,44,66,60
3202610004,79,78,138,70,91,52
3202610005,109,147,98,21,89,28
3202610006,76,50,98,57,76,74
3202610007,73,74,73,70,80,46
3202610008,135,,111,28,,21
3202610009,129,63,107,43,66,93
3202610010,,92,66,53,49,94
3202610011,119,91,81,96,75,21
3202610012,146,138,147,65,67,91
3202610013,77,135,58,49,33,96
3202610014,61,109,75,77,73,62
3202610015,129,54,88,22,48,33
3202610016,124,94,97,26,59,35
3202610017,128,88,109,35,98,99
3202610018,143,128,59,85,66,67
3202610019,100,118,85,61,39,61
3202610020,138,136,77,48,21,89
3202610021,74,73,130,73,32,76
3202610022,85,95,101,62,33,96
3202610023,96,69,120,89,88,99
3202610024,140,106,149,34,49,75
3202610025,123,108,78,84,30,71
3202610026,81,55,147,98,0,37
3202610027,115,60,50,47,46,82
3202610028,130,135,107,88,30,64
3202610029,51,55,92,41,58,92
3202610030,67,110,60,93,20,43
3202610031,93,147,55,93,23,43
3202610032,86,78,54,79,88,23
3202610033,88,145,96,86,54,48
3202610034,135,60,66,96,53,81
3202610035,131,131,137,92,75,91
3202610036,110,79,117,58,86,46
3202610037,92,102,75,97,88,64
3202610038,83,94,54,27,94,47
3202610039,72,76,119,56,62,78
3202610040,59,126,89,54,50,48
3202610041,120,77,132,31,23,99
3202610042,106,64,132,49,84,99
3202610043,151,71,121,95,34,77
3202610044,131,135,55,30,73,96
3202610045,113,109,95,31,34,42
3202610046,95,114,86,75,35,44
3202610047,70,90,77,49,26,81
3202610048,70,80,130,97,89,61
3202610049,105,113,128,33,33,50
3202610050,145,56,108,76,49,62
3202610051,101,101,103,94,47,48
3202610052,171,160,102,40,94,50
3202610053,141,66,89,44,47,97
3202610054,76,119,137,39,97,48
3202610055,110,112,70,59,26,99
3202610056,140,142,50,77,45,72
3202610057,86,66,142,74,27,48
3202610058,107,118,68,21,25,33
3202610059,102,73,65,46,67,71
3202610060,86,50,148,60,59,67
3202610061,101,112,100,21,90,68
3202610062,56,,63,33,54,70
3202610063,90,113,99,87,86,27
3202610064,130,136,100,31,58,94
3202610065,91,54,115,50,27,51
3202610066,,88,140,52,98,
3202610067,148,148,95,69,78,74
3202610068,92,96,55,57,26,52
3202610069,81,56,129,68,20,88
3202610070,159,62,62,83,86,30
3202610071,110,130,94,81,44,83
3202610072,135,68,106,36,68,47
3202610073,137,91,53,34,64,46
3202610074,116,55,96,58,43,94
3202610075,127,116,149,78,73,72
3202610076,123,133,136,89,76,66
3202610077,75,86,146,53,71,63
3202610078,92,59,143,-78,36,29
3202610079,106,54,82,90,78,70
3202610080,59,147,83,78,82,85
3202610081,120,57,146,89,36,78
3202610082,72,130,64,56,41,54
3202610083,141,132,87,52,43,45
3202610084,142,105,127,85,85,99
3202610085,61,85,119,85,65,97
3202610086,61,112,102,25,63,70
3202610087,70,84,69,86,29,23
3202610088,116,81,111,53,70,67
3202610089,121,130,134,44,73,77
3202610090,,,95,38,68,89
3202610091,56,79,133,74,59,52
3202610092,119,69,55,34,48,20
3202610093,98,145,108,28,58,97
3202610094,132,138,105,40,24,70
3202610095,82,68,133,77,70,69
3202610096,50,115,119,66,80,99
3202610097,114,114,116,22,66,99
3202610098,66,115,55,-23,32,93
3202610099,103,76,145,,20,
3202610100,125,64,76,57,63,70
3202610101,113,116,142,80,0,58
3202610102,129,137,69,87,92,20
3202610103,101,122,80,73,92,75
3202610104,115,108,0,77,86,88
3202610105,108,145,122,62,44,71
3202610106,54,98,110,68,31,35
3202610107,132,88,72,76,80,83
3202610108,118,63,96,88,86,23
3202610109,63,119,74,83,83,99
3202610110,55,137,113,64,50,34
3202610111,63,118,116,83,35,56
3202610112,84,79,149,35,41,63
3202610113,130,134,90,32,57,93
3202610114,110,59,132,39,21,40
3202610115,52,128,145,87,23,48
3202610116,107,103,127,,,82
3202610117,88,148,88,39,28,84
3202610118,73,86,127,92,23,22
3202610119,101,127,97,63,84,70
3202610120,74,57,54,51,90,82
3202610121,118,91,52,66,98,49
3202610122,88,119,53,94,67,27
3202610123,65,55,110,57,30,84
3202610124,107,,103,81,,77
3202610125,78,85,61,96,74,55
3202610126,74,71,65,59,81,31
3202610127,101,139,103,42,92,24
3202610128,68,55,83,43,42,92
3202610129,122,142,89,26,49,96
3202610130,120,,61,39,36,40
3202610131,133,118,132,55,74,65
3202610132,80,67,73,62,76,57
3202610133,124,90,73,94,82,64
3202610134,127,79,141,57,40,91
3202610135,74,119,78,94,62,60
3202610136,139,,60,33,20,83
3202610137,61,66,74,33,57,20
3202610138,102,145,146,57,30,41
3202610139,65,133,55,64,57,53
3202610140,88,58,119,63,96,76
3202610141,115,125,132,98,20,98
3202610142,127,131,132,92,83,62
3202610143,115,81,132,32,20,42
3202610144,138,125,81,81,94,81
3202610145,64,60,133,91,37,67
3202610146,111,139,55,90,33,84
3202610147,95,94,104,35,89,83
3202610148,109,131,143,58,66,53
3202610149,98,54,102,28,37,55
3202610150,118,132,146,33,85,72
3202610151,117,101,111,36,27,62
3202610152,125,62,64,61,85,29
3202610153,146,56,117,32,68,30
3202610154,137,52,146,23,30,33
3202610155,132,54,68,40,45,53
3202610156,116,142,103,26,95,94
3202610157,95,72,52,47,58,68
3202610158,80,140,65,50,26,60
3202610159,90,87,98,56,31,37
3202610160,88,145,66,26,55,79
3202610161,126,116,118,31,96,95
3202610162,139,101,121,24,81,75
3202610163,113,130,121,54,81,45
